text,label
LCK에서 조선족이 나가는게 제 꿈 입니다 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,1
팩트) 페이커 쵸비는 ㅈㄴ 친하다. 기인은 제우스가 반드시 자신을 뛰어넘을 거라고 했다. 갈드컵 여는 애들은 방구석 처박힌 찐따들이다.,1
이거 게이머들이 경기할때 쓰는 헤드셋은 그냥 헤드셋이아니라헬리콥터 조종기 기수들 소음잡아줄때 쓰는 헤드셋처럼주변잡음 다빨아먹는 헤드셋인데그것마저 뚫고 사이온궁소리 씹어먹어버림..걍 헬리콥터 1대 파동 < 슼룡들 위기탈출넘버원 울음소리슼룡은 헬리콥터 1대와 맞먹거나 그이상이다..,1
카리스 작년에 2군갔다와서 좀 친다하지 않음?,0
어~ 팔팔이형이야 ㅋㅋ,1
유관 대 무관은 역시,1
진짜 페이즈는 팀원 버스타면서 잘하는척 오지네 ㅋㅋ,1
Ig는 얼마나잘하는거냐 ㄷㄷㄷㄷ,0
허 버 허 버,1
역시 스로잉 엄로저,1
티원은 못올라오는데 뭔 경기력임 ㅋㅋㅋ,1
좀 월즈좀 먹어라!!,0
해설 왜 그래 지금 위에 골드차이 안보이노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 악을쓰고 못본척하노 ㅋㅋㅋㅋㅋ,1
탑차이 ㅈㄴ 심하네 ㅋㅋ,1
대참사,0
뭔 상황임 대체,0
1557치면 ppt 따서 T1 프론터에 제보하겠습니다 치지 말아주세요,1
안딜 안나옴?,0
3용주면 진다,0
루시안밀리오 할 떄부터 질 것 같았음. 가끔 보면 페이즈는 본인이 룰러급인 줄 착각하는 줄;; ,1
88848이 뭐에유?,1
담붕이 신났노 ㅋㅋ,0
니코 신음소리 들려,1
LPL Gen.G 加油!!!,1
성캐로 바꾸면 디도스 안걸릴듯 ㅋㅋ,0
카메라맨 드가좌~,0
ㅋㅋ걍 무시하죠 ㅋㅋㅋ전캐 욕하는애들 수준떨어지는 88848애들이닌까 ㅋ,1
77757 나오겠네..,1
정~말 달콤해,0
댓글로 똥싸는 애들 수준 ㅠㅠ 인생이 많이 힘든가보네 힘내라,0
단단묵직,0
삼성다니는 친구가 젠지 모르던데 조금이라도 끌어모을라고 삼성꺼 가져와버리기 ㅋㅋ,0
88848,1
88848,1
88848,1
제카는 거품이 맞다,1
어쩌다가 커즈가 저딴팀에들어간거냐,1
에욱,0
불공정한 연습기회 운운하며 승자를 존중하지 못하는 그선수에 그팬분들 ㅋㅋㅋ 제발 님들 쳐발린 거 화풀이를 다른 팀들 경기 와서 하지 말아주세요 ㅠㅠ 진짜 한화팬들은 매너있어서 님들이 한화팬 가면써도 천박한 말투에서 다 들통나요~~ 그리고 제발 한화선수들 상대로는 범인찾기좀 하지 말아주세요,1
대 황 비,0
함성도 못하는 그들만의 스포츠 거북목 쭈ㅡㅡㅡ욱ㅋㅋ,1
젠지팬때문에 몇명이 피해보노,1
8 8 8 4 8 ㅋㅋㅋㅋㅋㅋ,1
우좀틀,0
구미유시 cs 봐라 ㅉㅉ 이게 프로임 ?,1
lck 하위 3팀은 그냥 없애고 7팀끼리만 리그하면 안되냐 ㅋㅋ,1
도란은 좀빼자,1
cs 멋대로 먹은 서폿한테 왜 pog를 줘야함?,1
이제 하다하다 농심한테도 쳐 지네 ㅋㅋㅋ,1
전글 뭐함,0
여기서 서폿이 시야 잡아줘야되ㅑ는데 .. 원딜이 저모양이니 자꾸 지켜줘야됨..,1
조용좀해라 진짜 교육을못받았냐 너네는,1
유미는 별로임??,0
젠지는 월즈는 무조건8강임?ㅋㅋ,1
주도하는질서그것은거역할수없어,1
와 이신,0
88848을 모르는 사람이 있단말야?,1
ㅇㅇㅇ4ㅇ,1
이래도 1557이,1
엄카 뭐하냐ㅋㅋㅋㅋㅋㅋ,1
럭키태윤,0
똥겐 ㅋㅋ,1
1557,1
누가이기든 5꽉가즈아,0
에포트 신인 치고는 잘 하네 신인상 노려볼만 하다 시간 되돌리면 lck 쓰리핏도 가능하겠다,0
어어?,0
오리 템 뭐냐 ,0
ㅋㅋㅋ 그 팀 팬 컷 당하는거 재밋네 ㅋㅋ,1
88848,1
쵸비는 팀원들 죽는동안 CS만 먹음?,1
대상혁,0
근데 3.1절 실패한날 아님 ? 왜 기념임일??,0
동부팀이지만 강팀상대로도 꺼낸 서커스같은 픽 그래도 이정도로 원하는거 한다는게 잘하는거네 듀렉스 그팀은 강팀상대로 서커스하지도 못하던데...,0
ㅋㅋㅋㅋㅋㅋㅋ케이티 졌다고 인터젯 끊는대 미쳣다,1
슼까 해야되는데 잘해버리니까 이젠 관중까기 시전ㅋㅋㅋ,0
콜미 콜걸모드 ㄷㄷ,1
"벤픽 이따구로하면 광동은 이번에도 꼴찌일ㄷ,ㅅ",1
저건 좀 억울할만하다 ㅋㅋㅋㅋㅋㅋㅋㅋ,0
"젠지전은 딱 하나야, 오너가 공챔가고, 제우스가 탱커 가는거",0
티원 시청자수 개거품이였네 kt랑했는데 차이가없노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
물론 상대가 프로라서 그런 것도 있겠지만 광물솔랭이렐같아,0
라스칼은 맨날 까다롭다면서 그팀은 항상짐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
88848 럼자오자레 영토완정,1
테디야 늙었으면 걍 쉬자,0
대퍼는 사람이 아니다 대퍼는 팀이다,0
gang gang gang,0
인사 대칭 안맞는거 개짜증나네,1
3대떡~~!,0
역시 익룡은 슼평 ㄹㅇㅋㅋ,1
캬,0
1557 0013,1
88848,1
바텀떄문에 맨날 용주네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 걍 켈린 시야잡는것부터 에이밍 한타포지션까지 걍 노답임 ㅋㅋ,1
이렇게 잘하는데 젠지따위에 진게 수치네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
역시 LPL 킬러,0
또 젠도스임?,1
파이크 진짜 아무것도 안하네,0
잘흘렸다,1
슥갈은 언제나 남의 경기와서 혼자 쉐도우복싱 하누...,1
똥카 수준 ㅉㅉ,1
궁판정 진짜 씹사기네 ㅋㅋ,1
ㅇㅅㅇ,0
ㅋㅋㅋㅋ,0
물구 나무서고 한손으로 챗하니 딜레이 없네 ㄷㄷ 버그 발견,0
광동은 플옵이 롤드컵이라고 울수있음 ㅋㅋㅋㅋㅋㅋㅋ,0
숭배시간입니다. 페이커 등장시 '대 상 혁'을 입력해주세요. 띄어쓰기 유의 !!,0
클로저한테 퍼스트미드 내주고 솔킬 무수히 많이 당한 88848 그미드가 있다는데 사실인가요? ㅠㅠ,1
태윤드립은 치지마라 딜넣기전에 죽는앤데,1
여기는 1557 안쳐서 좋네,1
대황커즈,0
이거 급하지만 않으면 폭스가 이기겠다,0
담원 개못하네 ㅋㅋㅋ,1
광고를 그만 틀면 운영을 어캐하냐 진짜 능지 수준하고는,1
오늘 생방이냐?,0
얘 cs먹는 cs나하는데?,0
정훈 헤나는 확실히 맛있네,0
탈리야 길막으로 짤라 먹은게 몇 갠데 이걸 미드차이 탓을 하네 그 팬들 수준...그러니 88848 팬을 하지,1
윌러 베토벤 현상이라고 잠깐 귀에 이명들리는 질병이 있어요 ㅠㅠ,1
정글 체급차 에반데,0
ㅈㄴ 뚜드려맞네 ㅋㅋ,1
따이후앙찌엔 짜요,1
진짜 여기 채팅창은 브론즈밖에 없나? ,0
그래 우린 국제전 가져갈게 내수 너네 가져 ㅋㅋㅋ,0
걍 불이 이즈 존나 못하네,1
젠첩들 성희롱 돌았네 인간맞음?,1
겜 개판이네,0
정글망헀네,0
중국팀 응원하는 사람이잇음..?,1
짜증나니까 구마랑 비비지마 ,1
집중력좋다,0
여덟팔넷8에잇,1
아직 의심해라,1
ziee,1
디도스 ㅈ노잼,1
전캐형님 억텐 좀 제발.....,0
젠지가 월즈 우승을 한다? 말도 안되는 소리 기억해라 88848,1
ㅌㅊㅇ,0
그팀의 디도스공격 ㄷㄷ,1
아 월즈 우승하고 내년도 이멤버 리멤버 제오페구케,1
환불은 경기랑 상관없이 이미 해준다고 오피셜 뜬거고,0
오늘은 조용한 반응인게 좀 피곤해서 그런가?,0
"쵸비가 한화생명 식당밥 먹고, 안경쓰면 딜라이트랑 똑 같이 생김.",0
오늘 솔랭 금지 ㅋㅋ,0
세나 cs 레전드네 ㅋㅋㅋㅋ 프로 맞냐,1
늑대털이범 두두,0
ㅈㄴ 빨라,1
? 이게 왜 노 킹겐,0
운명의 ㅈ밥대전이노 ㅋㅋㅋㅋ,1
티원갤 이미 그분제외 범인찾기중,1
우스 선체파괴잨ㅋㅋㅋ,0
경기 왜 지연되고 있나요???,0
ㅇ어제부터 ...상위권 팀 경기력 미쳤네,0
경기시작할때 조합때문에 운영방식이달라서 편파적으로 들릴수있다고 이미말함,0
중국이 그렇게 좋으면 lpl로 가지 그러니 ㅋㅋㅋㅋ,1
젠지: 중국 영토의 무결성을 무조건 존중합니다,1
타잔 죽음의 드리프트 ㄷ,1
캐리아 개똥싸네 ㅋ,1
중국팀을 응원하는 한국인 아니 중국인들이 참 대단합니다,1
나보댜 티어 낮은 것들 다 닥쳐,1
아우,0
광동 미드 서폿이 다른라인도 다 죽이고 있음 ㅇㅇ,1
실비는 진짜 좀 심하다 ㅋㅋㅋㅋ 매경기 정글링만 하고있네 걍,1
역시 슼패는건 대황란ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
애쉬가 토나오게 판단력이 구리네,1
와 ㄷㄷㄷ,0
큐티하네 엑스큐트 ㅋㅋㅋㅋㅋㅋㅋㅋ,0
ㅍㅇㄹ,0
아우솔 카르마 이런거는 함정픽이네 연습때만 좋은거,0
짜장면집 vs 짬뽕집,1
쇼메이커 빼고 다 못하는데,0
ㅈ 사기챔ㅋㅋ,1
퍼펙트는 크산테 밴당하면 끝이네,0
콩버지,0
제우스>기인>도란>제우스 돌고 도는거 개웃기네ㅋㅋㅋㅋㅋ,0
롤드컵 결승보다 20배는 재미있네,0
뭐하노 리신 ㅋㅋ,0
888룰8,1
밴해줘서 고맙다,0
디도스 못걸어서 손발 덜덜 떨고있는 버러지면 가추,1
88848,1
클템왈 drx 55못해,0
88848은 커리어가 맞긴한가요?(진짜모름),1
굳이 ㅋㅋ,0
월즈 우승 어케했냐? 개못하네,1
88848,1
개똥텝,1
담원 왜이래됐노..,0
8목보호대 ㄷㄷ,1
축구 vs 광동,0
하 ㅜ 뷰어수 눙물난다 빨리 젠갈들아 니들 친구 중국애들좀 불러 ㅜ 티원22만인데…,1
진짜 밥대전이라 눈썩을듯,1
88848 쵸비는 페이커의 여드름을 해명하라!!!!,1
ㅁㅍ,0
이게 국대주전미드와 벤치의 차이인가 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ 넘을수없는벽 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,1
브리온은 신인을 둘이나 또갈앗네 정글이랑 서폿 ㅠㅠ,0
젠지 프론트 나라판거 인정 선수들도 한패임? 진심궁금ㅋ,1
잭스잭스 뽀삐털,0
롤 신 두,0
이렐진짜 중국인마냥 생겨서 보기 거북하네 ㅋㅋ;,1
난 오늘 한화가 이기면 그녀에게 고백할거야,0
구케 진짜 드릅게 못하네,1
케리아 pog 노리고 겜하네 ㅋ,0
룰러도 삼갤만 인정하고 젠지는 인정안하는데 ㅋㅋ,1
니코가 한번 터진거 빼곤 너무 잘해줘서 POG 가져갈듯 미드 6 탑 4 서폿 2,0
탑차이,0
진심 이즈는 쓰레기챔이다,0
슼평;;,1
이퀄 맞출 자신 없으면 진영 가르는 방향으로 써야 되는데 이도저도 아니게 쓰네,0
교듀스..,0
용준햄~,0
뷰어쉽 88848 가즈아~,1
아직도 해결 못한거 레전드 ㅋㅋ 얼마나 무능한거냐 ㅋㅋ 서비스업 일처리 진짜 드럽게 못하네 ㅋ.,0
역체미가 롤드컵을 한번은 들었겠지?,1
/싱크스,0
암튼 용에서 꼭 늦게 모이다가 겜가는건 안돼는팀 특징임,0
경기 안하냐?,0
하위권 대결은 누가누가못하나 느낌이라 재밌네 ㅋㅋ,0
엑세큐트 죠오온나게 못하네 2군 가야겠네,1
:face-green-smiling:그냥 게임 내내 서폿차이인듯 ㅋㅋ 딜라이트 >>>>> 케리아 :face-green-smiling:,1
벤치혁 디도스혁 화이팅!!!!!!!!,1
이제 88848 +8 이지않나 전시즌으로,1
2020년 코로나 한번 더 터졌노,0
0/5/5 미드 처참하게 박살나면서 졌지만 이악물고 페이커 수호할 슼갈이면 개추 ㅋㅋㅋ,1
티원은 젠지 육변기 아님?ㅋㅋ,1
이게 불?,0
쓱갈들이 조용히 좀봐라,1
졌잘싸지 상대가 담원이잖아,0
888룰8 888룰8 888룰8 국 제 전 무 관,1
스탠딩 메이지가 저래서 어려움...,0
아 뚱녀뭐야,1
고버지가 광동같은팀을 왜감 서부권팀이면가지,0
ㅈㅈ,0
구마유시가 흠이네 원딜만 바꾸면 티원 월즈우승 확정 아님?ㅋㅋ,1
오늘은 ㅇㅅㅇ 없어서 좋네ㅋㅋ,0
888룰8,1
1557 채팅 할시 헌법재판소에 고소합니다. 합의 선처 안해준다,1
ap가 많으니까 더 힘드네 한화 ㅋㅋㅋ ad는 4ad여도 되는데,0
어제 2대0으로 찌발려서 그런가 ㅎㅎ 그 분들이 많이 긁히셨네~~ 힘내세요~ ,1
오렌지 젠지맛네 ㅇㅇ 미드원딜 투툴팀,1
농심 피오지 지우인가요?,0
오너어디감?,0
1557 ㅋㅋㅋㅋㅋㅋㅋ T1 팬들 잘가요~~ ,1
3315(2014년 나진 화이트 실드가 OMG에 패배한 뒤로3315일만에 LCK(젠지)가 중국인 5명 팀(BLG)한테 패배함),1
켈린 사람이냐 ㅋㅋㅋㅋㅋㅋㅋ 저걸 못맞추네 ㅋㅋㅋㅋㅋㅋ,1
수준뭐냐,0
대놓고젠지가이기는데예언자ㅇㅈㄹ,1
kt도 별로긴하네.. lck는 걍 티원 젠지 투툴리그 ㅋㅋ,1
숫자 못세는놈 하나있농,0
1557이나0013이나 그게 티원 스타일이다 잘못 풀리면 들이박는식 그런게 있어서 얻는것도 있어서 4회 우승한것,0
ㄹㅇ ㅈㅂ대전 아니냐 ㅋㅋ,1
1557 기록한번 깨자!,1
미드 5벤,0
벽딸 뭐고,1
젠짱 짜요 ?!,1
강한 미드가 강한 정글을 만든다,0
ㄷㄷㄷㅈ,0
반짝반짝 모드,0
짜요~,1
광동경기 합니다 무관중으로 발표났어요,0
ㅇㄹㅇㄹㅇㄹ,0
젠첩 슼갈 모두 조용히 해주세요 여긴 광동의 방입니다,1
루시안이진짜못하네,1
무관엔 이유가 있다 개기인 우승하지마라 꼴보기 싫은 선수,1
직스전략,0
그미드는 오늘도 기인버스탐?ㅋㅋ,1
궁 너무 대충 쓰네,0
"와,,,",0
"세나 왜 cs 안먹는거야 다이아가 해도 저거보단 더 많이 먹겠노,,,,,...구마유시는 세나하지말고 징크스만하면 안되????세나 할줄모르네 진짜 개답답해서 못보겠어.세나해야 되는판이면 래클래스가하게하자 구마는 세나너무못하는거같아 티원팬이여도 이거는못바줄거같아",1
"프차비 1000억받고 더 받으려고 드릉드릉하는 라코가 디도스 방지를 못함. 자기들은 장비탓하는데 디도스인거 뒤져도 인정못하죠 ㅋㅋㅋ 1000억받아먹고 디도스 방지도 못하고, 인트라넷도 안쓰다가 수욜 디도스걸려고 시험삼아 걸어본 디도스에 게임 터지는 라코수준. 도대체 1000억받아다 어따썼노? 책임? 무능한거에 대한 책임져야겠지",1
이방은 1557 하는애들 없어서 좋네 ㅇㅅㅇ,1
지금 이게 라이브라고? 오늘은 또 무슨일이 있던것인가,0
1557 3대0 커어어엇!!!!!!!!,1
은호는 이마에 농사지어도되겠다 몇평이냐,1
괜찮아 어차피 또 8강딱 할건데 ㅋㅋ한잔해~,1
"""이겨""",0
맨날 광탈하는데 뭘 우승이야 서현아 멍청한거 티낼래?,0
분탕의 시초가 젠지 ㅋㅋㅋ 티원까면 젠지챈이 되는 기적 그냥 티원은 슥갈빼고 모두가 싫어한다니까? 역체갈들아 ㅋㅋㅋ,1
이정도면 패치 대비도 못한거고 그냥상대 깔본 밴픽밖에 안되는듯,0
시원한 박치기전 나올줄알았는뎅 많이 안싸우넹~,0
구마랑 지우랑 바꾸고싶을 T1팬이면 개추,1
광동ㅋㅋㅋㅋ,0
왤케 웃기냐,0
훠훠,0
오늘도 외칩니다 88848,1
쵸없페왕 = 쵸비없으면 페이커가 왕이야 ㅋ,1
아 ㅈㄴ재미없다진짜,1
세나노탤 하나라도 막아야자 않냐..,0
아지르 카운터 다짤렸네 할만함,0
젠지는 트로피도없으면서 왜별달고있음?,1
젠지 열화판한테도 지네 티원 ㅋㅋㅋㅋㅋ,1
오너 가오 잡는것만 빼면 참좋은데,0
익룡 ㅈㄴ 시끄럽네 ㅋㅋ,1
ㅁㄷㅊㅇ,0
중그팀한테 지네 그만 본다 ,1
아 우르곳 인기 올라가지말라고!!! 안돼!!!,0
젠지만큼 압도적으로 이기지는 못하네...쩝...,0
"티원은 제우스, 페이커, 케리아로 돌아가는 팀인데 오너 없어도 됨 ㅇㅇ",1
이번엔 광동이 후반에 더 좋으니깐;,0
지들이 삼겔 손잘 치다가 국제전 무관하니까 끌고 들어오는데 삼전 모독하지마라,1
비디디 겁나 못하는데 4대미드 맞냐,1
콜미가 아니라 콜걸이었노ㅋㅋ,1
든버지,0
이래도 888488888888888 나올거 같으면 개추,1
경기는 녹화가 맞고 해설은 실시간이 맞음 선수들은 경기 끝나길 기다리면서 인터뷰 대기중입니다,0
젠지는 그냥 나가리네,1
살 많이빠졌노 김정수,0
티원이 젠지한테 쳐발리는거마냥 숨도못쉬노 ㅋㅌㅋㅋ,1
/킹겐시점,0
진짜 너무하네,0
제전파 무빙 봐라,0
대 황 넛,0
똥 vs 설사,0
황금아리 뭐함?,0
내수용 젠지,0
88848 ㄹㅈㄷ,1
젠지가 삼성과 무관하다고 예전에 이미 입장 냈었습니다,0
광동 화이딩,0
디도스 젠지가 건거임? 음해 ㄴㄴ,1
켈황 ㄷㄷ,0
티켓팅 다시해야겟네,0
젠지는 월즈 4강이라도 해볼려면 룰러 데려와야 하지 않나요? 룰러 없으면 8강 따리잖아효...? ㅋㅋ,1
POG 디도스,0
/채팅 제한 2,0
6천차이 바로 따먹히노,1
또,0
슼카이 ㅋㅋㅋ,0
이래야 오너지,0
날 리 어 ,0
88848은 일부로 하는거임? ㅋㅋㅋ,1
그냥 던지노 ㅋㅋㅋ,0
88848,1
구마는 진짜 원딜 개못한다 cs 모냐,1
서폿이5픽해야하는 세상 ㅎㅎ 픽먼저 가져가는게 전략인 메타네,0
백도어가는 판단이 맞냐 이게 ㅋㅋㅋ,0
결승 상대 티원 개꿀~,1
플퀘 마음다잡고 다음경기 준비하자,1
혜지눈나 남편 쥰나 부럽다 ㅇㅅㅇ,1
얼굴 가리노 ㅋㅋ 꼴박게,1
씨맥 <<< 감독그릇 X,1
왜 발작하냐 아직도 롤드컵 미련못버렸냐 ㅋㅋㅋㅋ 뭔 if 드립이여 야 그렇게 따지면 북한에서 김정은 안태어났으면 통일됨 ㅇㅋ?,1
롤알못들 개많네ㅋㅋ,0
하늘이 우리를 돕는데..? (88848),1
이게 롤파크야 도서관이야~,0
제리에 바람용? 못 막는다 ㅉ,0
임신공격 ㅋㅋ,1
찌엔쥐 월즈 챔피언 타이틀에 열등감이 너무 심해ㅠㅠ 잘했으면 BLG한테 졌겟냐,1
와 저게 안되네,0
제카닉 33업 ㅋㅋㅋ,0
진짜경기나온다,0
구마제리로 후반 누워도 이긴다는 생각이 안드네 ㅋㅋㅋ,1
해설이 진짜 어려운 직업이구나..,0
에이 구라치지마 어케 5년 커리어가 88848이야 진짜 ㅋㅋ,1
디도스도 빨간날은 쉰다,0
디도스 하나 못막고 장난하나 진짜 ㅋㅋ 안잡고 뭐하냐?,1
계야후가 누구임??신인임?,0
부드러운 쵸비,0
그미드 pog빵점인데 초비는 pog가 일상이노 ㅋㅋㅋㅋㅋ ,1
여기쵸비맘들겁나많네ㅋㅋㅋㄱㅋ,1
요즘은 티원도 이꼬라지네 ㅋㅋㅋ주작이녀,1
씨맥은 빠다 드는게 아니고 맞아야 할 것 같은데 1세트 발리고도 카르마를 또 시켜?,1
기인도 폼 다 떨어졌네,1
대 황 불,0
제카 지린다 역시 5대미드,0
저딴 경기력인 팀을 응원한다는게 참 ㅋㅋ,1
태윤 어디갔노 ㅋㅋㅋㅋㅋㅋ,0
아지르 ㅈㄴ 못하네 저게 수십억이라니 ㅋㅋㅋㅋㅋㅋㅋ,1
브리온도 카리스 교체 좀 해라 광동 태윤 바꾸고 다른팀 됐다,1
근데 진심으로 태윤 승부조작 조사 들어가야하는 거 아님 ?,1
젠지 시청자 6만명 ㅋㅋㅋㅋ 노잼이라 아무도 안보쥬 ㅋㅋ,1
쵸비 그냥 갖다던지네 ㅋㅋ,1
표기오류입니다~,0
어디 서민이..!,0
ㅈㅈ,0
3핏이 뭐 별거라고 자꾸 보여주냐,0
고버지ㅜㅜㅡ,0
젠지랑 5꽉간 딮기 맞냐? 경기력 처참하네 ,1
황사장 미쳤다,0
페이즈 유미가먹어서 좋아할듯 ㅋ,0
LPL 따운~,0
찌밥대전이네?,1
디도스빨이네 한화는 ㅋㅋ,1
88848은 뭐임?,1
다이브? 설마,0
젠지팬들이 디도스 걸었다는게 맞음?,1
챌린저 일겜임 ㅋㅋ?,0
본인 젠지팬이난데 T1경기엔 분탕침 ㅇㅇ 젠지보다 T1이 더 싫기때문,1
녹방이라고 lck 공지좀 쳐 읽고 오세요ㅋㅋ,1
용가져와서 5분벌었음,0
디도스는 젠평,1
삼가 리그오브레전드의 명복을 빕니다...,0
제카가 메이지챔 너무 못함,0
쵸비는 잘버티던데..,0
대상혁은 영원하다 범부들아,1
농심 탑다이브에서 교환나오고 그 이후로 하려는 거 다실패함.. 그렇게 전부 실패할 수가 있나?,0
ㅈ밥대전 잼겠네,1
뭐야 오늘 중국팀 경기가 있네,1
7ㅣ인거 ,0
1557은 전설이다 다시는 나올 수 없는 기록,1
전용준할배 나오면 스피커 끄고 본다,1
누구 취향 반영한거냐 이건,0
오리아나가 왜 앞라인에 서냐 ㅋㅋㅋ 진짜 불독수준 미치겠네 아트는 완전 삥돌아와서 그냥 걷다가 한타끝나고 애휴 ㅋㅋㅋㅋㅋ,1
대상혁,0
포지션이 좀 이상했음,0
88848,1
쇼메이커<<이미 충분히 추해졌으면 개추,1
걍 브리온은 팀 해체하면안됨? 인기도없고 실력도 없고 왜있는 구단임??,1
3대떡으로만 지지 말자 ,0
어디 무관 따위가 나대냐,1
광동 따운,0
젠지 4강딱 나이스 ㅋㅋ,1
클로저 보다 못하는 미드가 서부팀에 있다고?,1
삐뽀 개마싯다,1
마나관리 생각못하는 프로라..,0
아아악 엘씨케시이의 호령이 젠지가!!!!!,0
아니 근데 얘네 내부망이 없는거야? 1000억으로 인트라넷 안만들고 뭐했냐,0
뉸썩네그냥 ㅋㅋ 티원경기만매일해라,1
진짜 ㅋㅋㅋㅋ광똥진짜 ㅋㅋㅋ미쳤네,0
재경기냐?,0
티원은 관중들없으면 관심 못받아서 개못해짐,1
오자룡 ,0
ㅈ 노잼이네 진짜,1
응 무관따리 ㅋ,1
